iter	Passed	Remaining
0	316	315840
1	319	159571
2	322	107106
3	335	83509
4	359	71506
5	363	60286
6	366	52046
7	393	48790
8	395	43584
9	398	39452
10	401	36072
11	405	33409
12	414	31439
13	421	29681
14	424	27870
15	428	26373
16	431	24978
17	460	25146
18	463	23954
19	469	23005
20	474	22137
21	514	22868
22	535	22730
23	550	22378
24	556	21688
25	564	21141
26	574	20693
27	579	20103
28	616	20648
29	643	20797
30	654	20460
31	663	20067
32	674	19760
33	681	19361
34	703	19383
35	719	19272
36	727	18932
37	743	18826
38	748	18434
39	763	18319
40	767	17945
41	771	17593
42	780	17361
43	785	17071
44	789	16750
45	804	16678
46	808	16386
47	812	16105
48	830	16120
49	834	15847
50	837	15591
51	841	15336
52	845	15107
53	848	14869
54	852	14649
55	860	14507
56	866	14332
57	870	14136
58	875	13969
59	880	13790
60	887	13663
61	890	13479
62	895	13320
63	924	13522
64	928	13355
65	935	13245
66	942	13118
67	956	13110
68	960	12965
69	966	12845
70	970	12693
71	980	12635
72	983	12495
73	1013	12685
74	1021	12596
75	1027	12495
76	1033	12385
77	1063	12567
78	1070	12485
79	1077	12393
80	1097	12451
81	1101	12326
82	1105	12210
83	1109	12095
84	1113	11988
85	1158	12315
86	1165	12230
87	1184	12278
88	1193	12216
89	1198	12115
90	1201	11999
91	1204	11885
92	1207	11771
93	1229	11854
94	1248	11893
95	1252	11792
96	1278	11898
97	1292	11898
98	1298	11816
99	1342	12085
100	1348	12003
101	1357	11949
102	1391	12118
103	1448	12481
104	1453	12389
105	1484	12520
106	1487	12416
107	1499	12382
108	1502	12282
109	1530	12381
110	1536	12309
111	1540	12211
112	1556	12215
113	1590	12357
114	1602	12328
115	1607	12252
116	1610	12154
117	1613	12062
118	1619	11988
119	1622	11897
120	1625	11811
121	1652	11889
122	1655	11804
123	1658	11719
124	1664	11651
125	1667	11569
126	1674	11507
127	1682	11462
128	1688	11397
129	1694	11337
130	1696	11256
131	1700	11179
132	1703	11107
133	1709	11050
134	1713	10977
135	1735	11023
136	1741	10972
137	1744	10899
138	1747	10826
139	1752	10764
140	1789	10900
141	1792	10833
142	1796	10764
143	1817	10803
144	1820	10736
145	1826	10683
146	1830	10620
147	1833	10556
148	1837	10496
149	1845	10459
150	1849	10401
151	1857	10361
152	1861	10304
153	1868	10264
154	1874	10221
155	1911	10342
156	1921	10315
157	1924	10255
158	1929	10207
159	1976	10375
160	1978	10310
161	2009	10396
162	2034	10448
163	2064	10521
164	2087	10565
165	2123	10666
166	2126	10608
167	2133	10565
168	2156	10605
169	2161	10555
170	2171	10527
171	2176	10478
172	2187	10457
173	2214	10514
174	2234	10536
175	2239	10484
176	2273	10571
177	2282	10538
178	2289	10502
179	2297	10468
180	2346	10616
181	2375	10676
182	2396	10701
183	2414	10709
184	2423	10678
185	2432	10644
186	2439	10605
187	2444	10558
188	2459	10553
189	2475	10552
190	2490	10547
191	2494	10496
192	2501	10460
193	2510	10428
194	2515	10383
195	2559	10499
196	2562	10443
197	2565	10392
198	2567	10335
199	2569	10277
200	2571	10222
201	2579	10189
202	2718	10674
203	2720	10616
204	2744	10642
205	2746	10586
206	2748	10529
207	2750	10473
208	2754	10424
209	2757	10372
210	2759	10317
211	2762	10269
212	2764	10213
213	2766	10160
214	2770	10117
215	2772	10063
216	2774	10012
217	2776	9959
218	2778	9907
219	2780	9858
220	2785	9819
221	2787	9769
222	2789	9720
223	2792	9674
224	2811	9682
225	2814	9639
226	2816	9591
227	2818	9543
228	2820	9494
229	2822	9447
230	2830	9424
231	2832	9377
232	2834	9330
233	2836	9284
234	2838	9238
235	2839	9192
236	2841	9146
237	2842	9100
238	2843	9055
239	2845	9010
240	2852	8985
241	2855	8945
242	2858	8904
243	2860	8861
244	2861	8818
245	2863	8775
246	2865	8736
247	2867	8694
248	2868	8652
249	2870	8611
250	2871	8570
251	2885	8563
252	2886	8523
253	2888	8484
254	2890	8444
255	2892	8405
256	2897	8375
257	2898	8336
258	2901	8299
259	2905	8270
260	2910	8239
261	2912	8205
262	2916	8173
263	2920	8141
264	2921	8103
265	2924	8068
266	2925	8032
267	2931	8007
268	2934	7973
269	2936	7938
270	2939	7908
271	2941	7873
272	2943	7838
273	2945	7803
274	2946	7768
275	2947	7732
276	2949	7698
277	2951	7664
278	2963	7659
279	2966	7628
280	2969	7597
281	2970	7564
282	2972	7531
283	2974	7498
284	2975	7465
285	2977	7433
286	2985	7416
287	2987	7385
288	2989	7354
289	2990	7322
290	2992	7291
291	2994	7260
292	2998	7234
293	2999	7204
294	3001	7173
295	3018	7179
296	3020	7149
297	3022	7119
298	3023	7088
299	3025	7059
300	3028	7032
301	3030	7003
302	3035	6982
303	3038	6956
304	3039	6926
305	3043	6903
306	3045	6874
